study_hrs,study_satis,leisure_hrs,leisure_satis
10.0,9,20.0,10
12.0,6,6.0,7
56.0,7,21.0,8
9.0,8,2.0,6
49.0,7,7.0,8
42.0,7,47.92000000000007,7
50.0,8,10.0,7
20.0,7,25.0,9
30.0,5,10.0,7
65.0,7,14.0,6
84.0,5,20.0,5
36.0,5,5.0,5
25.0,8,10.0,6
30.0,5,15.0,7
84.0,6,14.0,4
75.0,7,30.0,7
60.0,7,10.0,5
30.0,5,5.0,8
22.0,4,4.0,5
24.0,9,13.0,10
20.0,4,9.0,7
45.0,2,8.0,2
20.0,8,20.0,7
10.0,7,7.0,7
60.0,7,21.0,9
14.0,8,20.0,8
10.0,8,3.0,9
24.0,7,20.0,6
10.0,9,30.0,8
11.0,2,21.0,9
50.0,8,15.0,7
44.0,5,9.0,8
17.0,4,20.0,8
45.0,7,2.0,6
20.0,6,6.0,6
20.0,7,28.0,8
25.0,7,10.0,10
21.0,7,35.0,7
22.0,6,47.92000000000007,10
48.0,7,10.0,8
40.0,8,16.0,6
36.0,7,14.0,6
15.0,7,3.0,4
25.0,8,15.0,8
10.0,6,5.0,8
84.0,7,2.0,10
7.0,5,13.0,5
27.0,5,3.0,5
65.0,8,7.0,8
16.5,6,30.0,8
84.0,2,1.0099999999999998,2
30.0,5,1.0099999999999998,7
45.0,7,20.0,8
30.0,10,30.0,10
35.0,8,7.0,7
25.0,5,40.0,10
19.0,5,24.0,8
22.0,6,1.0099999999999998,6
24.0,7,10.0,7
20.0,8,5.0,8
30.0,6,2.0,7
19.0,8,21.0,9
30.0,7,12.0,10
50.0,3,20.0,4
30.0,7,4.0,10
40.0,7,14.0,6
21.0,4,24.0,5
10.0,8,6.0,8
14.0,3,14.0,9
9.0,8,12.0,8
9.0,8,10.0,8
30.0,7,30.0,2
48.0,3,5.0,6
27.5,6,10.0,6
84.0,9,2.0,4
7.0,3,10.0,5
11.0,7,24.0,7
10.0,9,5.0,9
56.0,7,6.0,7
37.0,8,12.0,6
20.0,8,10.0,9
20.0,7,6.0,8
32.0,7,30.0,5
28.0,2,5.0,6
29.79940119760479,7,20.0,8
21.0,9,4.0,2
12.0,8,24.0,8
27.5,2,14.0,10
22.0,2,47.92000000000007,7
21.0,4,20.0,3
30.0,5,5.0,6
15.0,6,16.0,8
7.0,7,10.0,8
60.0,3,4.0,4
40.0,6,5.0,6
11.0,8,7.0,6
14.0,4,20.0,3
44.0,10,1.0099999999999998,8
16.0,7,35.0,10
15.0,7,5.0,6
64.0,7,14.0,7
20.0,7,12.0,8
14.0,8,28.0,9
69.0,9,10.0,7
22.0,4,10.0,5
7.0,10,47.92000000000007,10
84.0,9,3.0,8
10.0,4,1.0099999999999998,8
56.0,4,10.0,2
40.0,6,10.0,8
56.0,7,9.0,4
40.0,7,7.0,6
30.0,7,12.0,7
26.0,8,8.0,7
27.5,8,6.0,8
35.0,7,21.0,7
21.0,3,10.0,2
50.0,10,25.0,7
27.5,6,3.0,6
35.0,8,7.0,7
10.0,4,10.0,10
27.5,2,5.0,2
10.0,7,12.0,9
12.0,5,20.0,5
40.0,9,20.0,8
27.5,4,3.0,7
10.0,8,3.0,10
16.0,5,40.0,10
28.0,6,20.0,8
21.0,8,4.0,7
14.0,7,6.0,8
21.0,8,15.0,8
40.0,7,14.0,5
10.0,8,5.0,8
28.0,6,12.0,7
10.0,10,15.0,6
11.0,2,1.0099999999999998,5
21.0,10,10.0,5
56.0,9,21.0,4
11.0,10,47.92000000000007,10
35.0,9,21.0,8
18.0,3,20.0,8
11.0,2,2.0,5
9.0,6,2.0,6
25.0,10,25.0,10
30.0,6,40.0,6
20.0,6,10.0,10
60.0,7,10.0,6
50.0,5,20.0,5
21.0,5,35.0,5
11.0,4,24.0,4
60.0,5,47.92000000000007,5
77.0,4,14.652261904761907,9
77.0,3,7.0,7
35.0,5,21.0,7
10.0,8,10.0,8
9.0,7,30.0,7
16.0,3,16.0,5
10.0,6,4.0,7
29.79940119760479,7,12.0,8
29.79940119760479,8,14.652261904761907,7
48.0,7,38.0,7
24.0,5,30.0,6
33.0,5,6.0,6
10.0,7,20.0,7
14.0,5,5.0,7
7.0,3,14.0,3
29.79940119760479,7,14.652261904761907,8
7.0,6,4.0,6
15.0,9,30.0,8
40.0,6,10.0,7
